iter	RMSE
0	14.72524717
1	14.36033925
2	13.99587672
3	13.64980176
4	13.31165927
5	12.9893268
6	12.6759625
7	12.40667538
8	12.1215399
9	11.82977688
10	11.53789923
11	11.29403451
12	11.0777466
13	10.83435035
14	10.61670003
15	10.37635569
16	10.15855861
17	9.955891351
18	9.740384266
19	9.544740694
20	9.365482368
21	9.194169967
22	9.012475473
23	8.84530874
24	8.67842898
25	8.544544945
26	8.399478849
27	8.271449149
28	8.142043864
29	8.026137073
30	7.926506005
31	7.809446568
32	7.708759933
33	7.599576017
34	7.49959233
35	7.406042816
36	7.309967514
37	7.228452885
38	7.146661973
39	7.063921739
40	6.999720943
41	6.937543578
42	6.859998433
43	6.804844013
44	6.741162185
45	6.685946396
46	6.628055531
47	6.569213315
48	6.510016299
49	6.452392376
50	6.404385794
51	6.35138555
52	6.301892224
53	6.251797907
54	6.209673603
55	6.172225785
56	6.138169532
57	6.100442383
58	6.067447756
59	6.034964401
60	6.001033813
61	5.967497615
62	5.936088987
63	5.903417032
64	5.873933489
65	5.848084385
66	5.819134195
67	5.791838689
68	5.775125518
69	5.752364484
70	5.729085407
71	5.701093659
72	5.68085008
73	5.659623837
74	5.640095182
75	5.617612629
76	5.599615591
77	5.585162536
78	5.566834687
79	5.551745772
80	5.541945028
81	5.524813349
82	5.510543743
83	5.495463777
84	5.490358154
85	5.479244365
86	5.467661997
87	5.452270532
88	5.443813068
89	5.432314183
90	5.414324842
91	5.4045861
92	5.394164553
93	5.385263822
94	5.376351539
95	5.362771289
96	5.352843405
97	5.343043259
98	5.337202704
99	5.323584657
100	5.316844193
101	5.308863871
102	5.301571389
103	5.288702735
104	5.281541187
105	5.273364485
106	5.265465427
107	5.2600569
108	5.251782269
109	5.244271675
110	5.236855575
111	5.230503446
112	5.225004741
113	5.219221471
114	5.214535031
115	5.210060248
116	5.200495363
117	5.195403292
118	5.189273621
119	5.183937603
120	5.181106949
121	5.173633533
122	5.166595994
123	5.156702461
124	5.152024925
125	5.145118627
126	5.139609083
127	5.132402852
128	5.127907692
129	5.124439967
130	5.118593335
131	5.115411874
132	5.108093804
133	5.107313094
134	5.099331894
135	5.096195444
136	5.089411344
137	5.085370613
138	5.082373076
139	5.076236405
140	5.070120024
141	5.067909601
142	5.063307176
143	5.058189527
144	5.051682488
